return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2014-08-05T19:41:36+00:00	115-8825779-8169804	TGT-012314-598-DESKPET-BATTLETANK	B00H24TYOA	X000K3J15N	Desk Pets APPBOTS Battletank for Android/I-Phone	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2014-07-28T11:20:00+00:00	106-2775132-1342605	TJM-062014-2400-BRUDER.RECYCLE	B005J8M4AM	X000M68EZ1	Bruder Recycling Truck	1	CVG2	CUSTOMER_DAMAGED	DAMAGED_BY_FC	Data not available
2014-07-25T06:54:29+00:00	108-6901877-0845000	WMT-071014-1500-N300WIRELESSDSLROUTER	B003NZSX7G	X000MH8EYL	Netgear N300 Wireless ADSL2+ Modem Router (DGN2200)	1	LEX2	DEFECTIVE	DEFECTIVE	Data not available
2014-07-22T16:10:44+00:00	111-4653687-0593063	L-KMorTRU-3/14-1499-FROZEN.OLAF.SMALL	B00EY26WA2	X000KR4TA1	Disney Frozen Olaf Doll	1	LAS2	SELLABLE	FOUND_BETTER_PRICE	Data not available
2014-07-18T20:11:33+00:00	113-9945577-6583447	L-TRU-030714-1199-D.PRINCSS-WAND.TIARA	B00DX1LP5C	X000KHR2BJ	Disney Princess Magical Wand and Tiara	1	LEX2	SELLABLE	UNDELIVERABLE_UNKNOWN	Data not available
2014-07-18T08:40:32+00:00	107-0699135-4824220	WMT-050614-500-SLOTS.OLYMPUS	B00BA9AWTO	X000M9INRR	WMS Slots Adventure: War for Olympus [CD-ROM] Windows 7 / Windows Vista / Windows 8 / Windows XP	1	LEX2	DEFECTIVE	DEFECTIVE	Data not available
2014-07-10T12:43:23+00:00	116-5088966-5911438	TGT-0428?14-2998-HAM.BEACH.49981.COFFEE	B005GUGBS4	B005GUGBS4	Hamilton Beach 49981 Single Serve Scoop Coffee Maker, Stainless Steel	1	CVG2	DEFECTIVE	DEFECTIVE	Data not available
2014-07-01T17:20:00+00:00	104-9747838-9360243	RA-4/14-299-CHUTES&amp;LADDERS	B00000DMF6	X000LBHHK5	Chutes and Ladders	1	LAS2	SELLABLE	UNAUTHORIZED_PURCHASE	Data not available
2014-06-26T21:12:35+00:00	102-1430527-5911468	Tgt-120713-1999-DisneyFrozentoddlerElsa	B00DSDYE3A	B00DSDYE3A	Disney Frozen Elsa Toddler Doll	1	LAS2	SELLABLE	UNWANTED_ITEM	Data not available
2014-06-25T00:34:39+00:00	104-8852700-3830660	SEARS-051314-2497-SH.SOAP.MOTION.L	B003JTCAHK	B003JTCAHK	simplehuman Sensor Pump for Soap or Sanitizer, 13-Ounce, Brushed Nickel	1	LAS2	DAMAGED	NOT_AS_DESCRIBED	Data not available
2014-06-24T19:00:00+00:00	110-6912364-3706661	TRU-050414-1999-SIDEWINDER.GREEN	B00HHC25BG	B00HHC25BG	Air Hogs RC Skywinder - R/C Stunt Rocket Green	1	LAS2	DEFECTIVE	DEFECTIVE	Data not available
